#,Company,Symbol,Weight,Price,Chg,% Chg
1,Apple Inc.,AAPL,6.63%,196.21,1.94,(1.00%)
2,Microsoft Corp,MSFT,6.27%,374.06,2.44,(0.66%)
3,Nvidia Corp,NVDA,6.00%,104.64,0.15,(0.14%)
4,Amazon.com Inc,AMZN,3.70%,176.27,1.94,(1.11%)
5,"Meta Platforms, Inc. Class A",META,2.50%,506.25,3.94,(0.78%)
6,Berkshire Hathaway Class B,BRK.B,2.12%,521.80,5.35,(1.04%)
7,Alphabet Inc. Class A,GOOGL,1.99%,155.16,1.83,(1.19%)
8,Broadcom Inc.,AVGO,1.83%,177.00,2.39,(1.37%)
9,Alphabet Inc. Class C,GOOG,1.64%,157.40,1.90,(1.22%)
10,"Tesla, Inc.",TSLA,1.55%,244.02,2.47,(1.02%)
11,Jpmorgan Chase & Co.,JPM,1.42%,231.83,2.22,(0.97%)
12,Eli Lilly & Co.,LLY,1.30%,736.87,1.97,(0.27%)
13,Visa Inc.,V,1.26%,333.60,2.27,(0.68%)
14,Unitedhealth Group Incorporated,UNH,1.17%,589.72,4.68,(0.80%)
15,Exxon Mobil Corporation,XOM,0.98%,104.68,0.49,(0.47%)
16,Costco Wholesale Corp,COST,0.95%,973.19,5.43,(0.56%)
17,Mastercard Incorporated,MA,0.92%,522.09,8.66,(1.69%)
18,Netflix Inc,NFLX,0.91%,972.45,10.82,(1.13%)
19,Walmart Inc.,WMT,0.89%,91.88,0.69,(0.76%)
20,Procter & Gamble Company,PG,0.86%,165.41,-0.98,(-0.59%)
21,Johnson & Johnson,JNJ,0.81%,154.12,0.21,(0.14%)
22,"Home Depot, Inc.",HD,0.77%,349.00,3.01,(0.87%)
23,Abbvie Inc.,ABBV,0.68%,171.69,0.00,0.00%
24,Coca-Cola Company,KO,0.61%,71.87,0.19,(0.27%)
25,Bank of America Corporation,BAC,0.55%,37.89,0.56,(1.50%)
26,Philip Morris International Inc.,PM,0.54%,161.50,1.02,(0.64%)
27,"Salesforce, Inc.",CRM,0.53%,253.20,3.35,(1.34%)
28,"Cisco Systems, Inc.",CSCO,0.50%,56.23,0.47,(0.83%)
29,Chevron Corporation,CVX,0.49%,136.75,1.39,(1.03%)
30,Mcdonald's Corporation,MCD,0.49%,311.08,1.98,(0.64%)
31,International Business Machines Corporation,IBM,0.49%,240.35,1.78,(0.75%)
32,Abbott Laboratories,ABT,0.48%,130.90,1.20,(0.92%)
33,Oracle Corp,ORCL,0.47%,131.39,1.63,(1.25%)
34,Linde Plc,LIN,0.47%,451.17,3.18,(0.71%)
35,Wells Fargo & Co.,WFC,0.46%,64.75,0.77,(1.21%)
36,Palantir Technologies Inc. Class A,PLTR,0.44%,94.19,1.48,(1.60%)
37,Ge Aerospace,GE,0.44%,183.18,0.73,(0.40%)
38,"Merck & Co., Inc.",MRK,0.43%,76.93,0.47,(0.61%)
39,At&t Inc.,T,0.43%,27.05,0.03,(0.09%)
40,"Pepsico, Inc.",PEP,0.43%,140.58,0.49,(0.35%)
41,Verizon Communications,VZ,0.41%,43.80,0.19,(0.43%)
42,Accenture Plc,ACN,0.39%,291.06,5.82,(2.04%)
43,Intuitive Surgical Inc.,ISRG,0.38%,481.77,0.43,(0.09%)
44,Rtx Corporation,RTX,0.37%,130.25,1.00,(0.77%)
45,"Thermo Fisher Scientific, Inc.",TMO,0.37%,441.63,4.84,(1.11%)
46,"Servicenow, Inc.",NOW,0.37%,810.26,13.60,(1.71%)
47,Intuit Inc,INTU,0.36%,590.39,2.31,(0.39%)
48,Progressive Corporation,PGR,0.35%,276.50,1.37,(0.50%)
49,Amgen Inc,AMGN,0.35%,285.13,2.49,(0.88%)
50,Goldman Sachs Group Inc.,GS,0.35%,503.85,4.80,(0.96%)
51,"Uber Technologies, Inc.",UBER,0.34%,73.88,0.81,(1.12%)
52,Advanced Micro Devices,AMD,0.34%,88.99,0.70,(0.79%)
53,The Walt Disney Company,DIS,0.34%,83.39,0.62,(0.74%)
54,Qualcomm Inc,QCOM,0.33%,138.15,2.41,(1.77%)
55,Booking Holdings Inc.,BKNG,0.33%,"4,525.00",-15.84,(-0.35%)
56,Adobe Inc.,ADBE,0.33%,349.25,5.06,(1.47%)
57,S&p Global Inc.,SPGI,0.32%,464.34,0.36,(0.08%)
58,"Tjx Companies, Inc.",TJX,0.32%,127.51,1.20,(0.95%)
59,American Express Company,AXP,0.31%,256.10,3.18,(1.26%)
60,Caterpillar Inc.,CAT,0.31%,292.08,1.94,(0.67%)
61,"Nextra Energy, Inc.",NEE,0.30%,65.51,-0.14,(-0.21%)
62,Boston Scientific Corp.,BSX,0.30%,95.73,0.47,(0.50%)
63,Texas Instruments Incorporated,TXN,0.30%,148.19,1.64,(1.12%)
64,Morgan Stanley,MS,0.30%,   NaN,0.00,(NaN%)
65,Union Pacific Corp.,UNP,0.29%,218.76,2.16,(1.00%)
66,Gilead Sciences Inc,GILD,0.29%,105.00,0.12,(0.11%)
67,The Charles Schwab Corporation,SCHW,0.29%,76.78,1.08,(1.43%)
68,Comcast Corp,CMCSA,0.28%,33.92,0.37,(1.09%)
69,"Blackrock, Inc.",BLK,0.28%,880.76,14.98,(1.73%)
70,"Honeywell International, Inc.",HON,0.28%,194.44,1.16,(0.60%)
71,Vertex Pharmaceuticals Inc,VRTX,0.28%,486.57,0.68,(0.14%)
72,"T-Mobile Us, Inc.",TMUS,0.28%,260.29,0.65,(0.25%)
73,Pfizer Inc.,PFE,0.28%,22.21,0.16,(0.75%)
74,Lowe's Companies Inc.,LOW,0.27%,215.68,1.27,(0.59%)
75,Danaher Corporation,DHR,0.27%,194.11,3.45,(1.81%)
76,Automatic Data Processing,ADP,0.26%,295.16,1.02,(0.35%)
77,"Fiserv, Inc.",FI,0.26%,208.71,-1.40,(-0.67%)
78,Citigroup Inc.,C,0.26%,62.88,0.78,(1.26%)
79,Stryker Corporation,SYK,0.26%,346.50,-0.17,(-0.05%)
80,Applied Materials Inc,AMAT,0.26%,139.55,1.36,(0.98%)
81,Deere & Company,DE,0.26%,455.74,3.32,(0.73%)
82,Boeing Company,BA,0.25%,157.52,1.05,(0.67%)
83,"Palo Alto Networks, Inc.",PANW,0.25%,171.25,1.49,(0.88%)
84,"Marsh & Mclennan Companies, Inc.",MMC,0.25%,231.14,-0.19,(-0.08%)
85,"Eaton Corporation, Plcs",ETN,0.24%,277.15,7.99,(2.97%)
86,Conocophillips,COP,0.24%,86.73,0.36,(0.42%)
